GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT1G50480	80	146	67	54
AT1G20540	6	14	6	3
AT5G51170	4	6	5	0
AT3G56170	59	57	37	19
AT3G10730	20	37	15	20
AT1G58150	2	4	2	1
AT5G40770	110	160	121	109
AT1G23060	3	3	1	0
AT3G20940	4	6	1	3
AT2G15630	2	0	0	1
AT5G67080	4	3	5	14
AT3G14855	0	3	1	0
AT2G44390	4	4	3	3
AT2G22125	200	237	112	135
AT5G14470	0	0	0	0
AT3G17310	9	18	10	9
AT1G71330	2	1	2	4
AT5G11650	53	58	28	13
AT3G04160	2	3	0	1
AT3G15210	170	156	99	102
AT1G48510	3	6	6	3
AT5G18570	13	9	8	8
AT4G34690	0	0	0	0
AT1G66370	0	1	0	0
AT5G01800	73	58	72	35
AT3G11860	0	0	0	0
AT1G58225	0	0	0	1
AT1G76680	39	51	13	9
AT4G36100	0	0	0	0
AT4G17410	9	15	11	15
AT4G14710	58	85	61	39
AT3G10200	0	0	0	1
AT5G58110	78	119	90	67
AT5G58465	0	0	0	0
AT5G12480	70	83	77	53
AT3G54640	61	87	53	50
AT1G34245	0	0	0	0
AT4G03415	20	29	11	10
AT2G39550	14	16	12	4
AT5G02410	5	6	4	0
AT4G31720	19	25	10	7
AT2G40830	20	26	12	19
AT5G41300	5	6	1	3
AT4G14905	3	12	5	6
AT4G32060	70	65	62	37
AT3G05932	12	9	8	6
AT4G21105	51	73	65	46
AT2G22140	0	0	0	0
ATCG00860	0	0	0	0
AT3G52630	2	3	3	3
AT2G24850	0	0	0	0
AT1G77420	5	6	0	4
AT1G27310	46	75	42	48
AT2G31320	4	3	6	5
AT1G35255	1	0	0	1
AT1G24020	1	3	1	1
AT5G48950	3	1	1	1
AT2G18730	110	105	43	53
AT1G72960	0	0	0	0
AT2G16230	1	1	1	1
AT3G03550	10	24	16	9
AT2G24120	8	17	12	13
AT5G59260	5	7	1	0
AT4G31050	1	0	0	1
AT3G16510	8	5	2	3
AT3G23910	3	0	1	0
AT5G56050	0	0	0	2
AT1G28210	5	2	2	1
AT1G14840	4	8	3	1
AT5G66750	7	11	6	3
AT5G07220	205	274	185	138
AT4G10613	0	0	0	0
AT3G16710	3	3	0	2
AT4G02555	2	3	2	2
AT3G63140	0	3	1	3
AT2G42885	0	0	1	2
AT4G37780	0	1	0	0
AT3G18910	5	11	10	10
AT4G03080	34	49	21	27
AT1G35620	46	75	51	36
AT5G05080	29	38	18	18
AT4G39366	19	16	7	4
AT1G72210	7	10	3	2
AT1G14685	23	20	9	13
AT2G36895	7	13	8	2
AT4G29370	0	0	0	0
AT2G39870	20	40	18	17
AT1G66070	16	17	12	15
AT3G53620	17	12	2	4
AT1G02070	0	2	1	1
AT3G53380	10	9	6	4
AT5G28460	1	0	0	0
AT3G06483	10	9	6	3
AT3G61370	5	8	5	4
AT5G42830	10	22	29	35
AT1G70300	51	64	58	81
AT5G65670	239	304	235	123
AT4G13640	19	17	15	9
AT1G78922	4	1	2	3
AT5G51640	16	30	16	9
AT5G24593	0	0	0	0
AT1G33470	24	39	13	16
AT4G24490	18	36	16	13
AT2G23150	4	22	8	9
AT1G55540	7	9	4	7
AT5G02580	18	26	4	3
AT3G56110	34	26	9	21
AT3G09595	1	1	1	1
AT1G78890	7	8	4	2
AT4G14520	7	6	1	4
AT2G40630	9	12	14	4
AT4G13030	22	18	17	7
AT4G10420	1	0	0	0
AT3G13630	0	0	0	0
AT5G01190	0	0	0	1
AT5G09530	26	50	18	21
AT5G07340	35	54	28	24
AT4G21310	3	1	1	0
AT2G39670	20	18	22	12
AT1G59940	10	7	26	17
AT1G01910	35	52	31	35
AT5G43900	89	90	75	59
AT2G01090	5	7	11	6
AT1G01570	3	3	3	0
AT3G06390	21	24	22	7
AT1G08730	0	0	0	1
AT3G19390	238	298	168	181
AT5G37780	239	235	245	123
AT3G42880	0	0	0	0
AT5G65450	2	7	1	2
AT5G15820	11	5	13	4
AT4G36280	0	0	0	1
AT1G68185	6	5	5	2
AT5G09330	41	64	31	29
AT4G12980	4	4	2	7
AT1G16080	13	11	9	3
AT3G15460	10	15	4	11
AT2G35736	3	5	3	2
AT2G45000	11	15	9	13
AT1G04940	10	10	5	4
AT2G38700	88	118	55	59
AT3G63200	110	201	76	85
AT5G53940	4	5	2	2
AT3G11110	2	0	0	0
AT3G59090	24	29	16	11
AT3G15355	17	19	14	17
AT3G53190	10	23	9	9
AT3G11397	15	12	15	6
AT4G22540	20	24	9	9
AT3G02530	61	82	49	42
AT2G20260	3	4	2	1
AT5G02510	0	0	0	0
AT2G16380	4	3	10	8
AT1G02340	7	9	7	0
AT4G22745	12	11	13	8
AT5G04320	13	6	10	3
AT4G30960	817	806	632	357
AT2G01520	142	136	78	50
AT1G62880	4	9	5	4
AT3G51030	3	4	4	3
AT4G33865	124	157	87	108
AT1G67930	11	37	19	12
AT3G25790	0	1	13	16
AT3G26445	0	2	2	0
AT3G45900	11	16	5	4
AT2G44995	1	0	0	0
AT1G51170	22	19	16	16
AT5G26040	5	8	3	3
AT3G47890	30	32	27	10
AT1G71970	5	12	3	1
AT1G05385	1	3	2	2
AT3G14030	0	0	0	0
AT4G22800	0	0	0	0
AT3G47060	20	35	23	13
AT5G55930	5	8	0	2
AT5G62210	9	19	8	9
AT3G56590	23	25	17	14
ATMG01190	0	0	0	1
AT5G15725	0	1	0	1
AT4G29610	1	1	2	0
AT4G38670	12	7	7	7
AT2G22850	4	6	1	3
AT3G43170	0	0	0	0
AT5G30341	0	0	0	0
AT4G22080	6	10	8	5
AT1G67560	38	51	26	29
AT1G26320	0	0	0	0
AT1G01680	0	0	0	0
AT2G45360	6	6	4	2
AT2G46020	122	167	89	92
AT2G04040	4	7	3	4
AT1G20015	5	4	6	1
AT2G38050	18	17	5	16
AT3G01450	2	2	0	0
AT1G64160	0	0	0	1
AT5G51140	11	13	4	3
AT2G16405	6	21	2	7
AT4G34050	563	641	299	237
AT3G58910	0	0	0	0
AT4G27110	0	1	0	0
AT1G65660	39	31	28	10
AT5G42820	85	138	120	102
AT5G03680	3	8	2	4
AT2G23770	17	11	17	17
AT2G20930	9	1	5	4
AT3G48460	0	4	1	2
AT1G51600	18	16	9	8
AT2G44175	0	0	0	0
AT1G71500	6	6	8	7
AT3G17880	25	34	17	18
AT1G70780	50	102	276	230
AT3G26610	1	4	5	4
AT3G20790	5	11	5	6
AT2G34010	2	0	0	0
AT5G41110	4	5	9	3
AT3G07273	0	1	0	0
AT2G22760	0	0	0	0
AT2G04050	0	1	1	4
AT1G66160	37	22	38	23
AT3G63500	105	120	94	65
AT1G73120	3	4	2	0
AT5G59020	6	10	7	5
AT1G48090	89	121	68	57
AT2G07798	1	1	0	0
AT4G26055	1	0	0	0
AT4G12405	1	1	0	0
AT3G49750	9	9	11	4
AT1G70760	0	0	1	1
AT3G47510	14	11	14	10
AT4G16000	0	1	0	0
AT1G47765	0	0	0	0
AT1G48820	0	0	0	0
AT1G18300	28	7	19	7
AT1G73680	2	2	1	2
AT4G04610	60	78	131	86
AT4G01010	4	5	3	1
AT1G35040	0	0	0	0
AT3G15020	17	17	20	18
AT1G02810	41	50	22	14
AT1G54460	42	26	33	14
AT1G04425	1	0	1	1
AT4G25550	15	39	21	19
AT1G21990	1	0	0	0
AT4G39620	1	4	5	2
AT2G35510	39	50	30	22
AT4G16892	0	0	0	0
AT3G61530	7	10	9	14
AT4G11810	0	0	0	0
AT2G03070	5	9	4	8
AT1G12015	0	1	2	0
AT5G46150	12	27	9	12
AT5G40340	74	48	90	45
AT5G09510	57	59	31	32
AT4G20780	12	12	19	24
AT1G06180	5	9	3	6
AT3G21240	128	149	71	51
AT2G27190	26	34	15	10
AT5G24390	3	13	9	5
AT3G48425	4	7	1	1
AT2G18310	0	0	0	0
AT5G49810	61	92	50	37
AT2G32200	1	0	0	0
AT5G65950	51	74	32	40
AT2G05765	9	14	10	8
AT1G75660	56	94	47	52
AT5G10240	27	39	23	24
AT4G36400	9	16	8	9
AT1G48620	78	104	57	53
AT1G74250	36	31	59	21
AT3G20270	2	2	2	0
AT4G30097	0	0	0	1
AT4G26500	16	10	11	9
AT1G07740	16	17	11	8
AT5G51330	0	0	0	0
AT1G77140	16	30	9	9
AT1G73170	11	20	14	8
AT1G67500	17	14	9	5
AT3G55900	2	0	0	0
AT2G33670	1	0	0	0
AT1G32510	0	1	0	1
AT1G22890	0	1	0	1
AT1G23830	4	11	11	9
AT1G76510	14	16	9	15
AT5G44820	8	7	5	3
AT5G17090	0	1	0	0
AT1G08010	11	23	5	6
AT5G62620	29	31	27	20
AT2G14080	0	0	0	0
AT1G08115	76	222	112	114
AT1G05840	22	20	8	12
AT2G24090	5	6	3	2
AT3G49480	0	0	0	0
AT3G55980	81	81	164	85
AT1G32620	0	0	0	0
AT2G40370	20	17	12	9
AT1G55200	5	1	3	0
AT1G17070	28	47	28	28
AT5G20360	21	20	23	18
AT4G10910	0	0	0	0
AT1G78090	0	0	8	4
AT2G05760	0	1	0	1
AT2G15900	20	27	22	8
AT5G09860	9	23	13	13
AT4G26375	0	2	0	1
AT4G18375	2	3	0	0
AT1G70810	15	14	22	16
AT4G11130	8	10	4	2
AT3G63030	14	30	7	11
AT2G35550	0	0	1	1
AT1G64750	161	184	192	93
AT2G03560	0	0	1	0
AT3G30220	0	0	0	0
AT2G35585	13	12	5	2
AT2G19520	43	44	30	22
AT5G37360	3	1	2	2
AT3G54990	9	19	10	9
AT4G10780	1	0	0	0
AT3G20820	0	5	2	1
AT3G19500	0	0	1	0
AT1G46984	0	0	0	0
AT3G22890	135	222	213	245
AT5G14550	10	12	2	3
AT1G11460	0	2	1	1
AT1G78440	0	1	1	0
AT5G63905	21	22	17	11
AT5G02700	0	0	0	0
AT1G79570	33	46	22	23
AT5G16610	4	7	6	1
AT1G09157	0	0	0	0
AT5G24490	6	10	5	5
AT2G38320	11	10	12	5
AT4G04840	9	17	6	7
AT3G46970	9	7	4	6
AT3G01950	2	3	4	4
AT5G61820	65	87	33	25
AT3G51135	4	8	6	1
AT2G40260	7	14	7	2
AT5G14240	62	101	70	48
AT3G51550	185	229	164	138
AT1G03720	0	0	0	0
AT5G63715	0	0	0	0
AT3G59340	1	1	0	1
AT4G37095	1	3	0	0
AT1G01690	0	3	2	0
AT3G11040	5	4	3	3
AT2G17830	2	3	3	1
AT5G01590	12	16	8	10
AT2G12557	0	0	0	0
AT1G76230	3	1	1	0
AT1G21975	0	0	0	0
AT1G63240	2	1	0	1
AT5G28010	2	0	2	1
AT5G58770	10	16	8	4
AT1G70960	0	0	0	0
AT4G15180	98	125	83	51
AT4G32620	47	57	39	23
AT3G20310	26	38	29	26
AT1G34300	26	31	25	14
AT5G61490	3	3	3	3
AT5G45260	11	14	8	7
AT5G58375	33	28	29	20
AT5G62170	1	2	1	1
AT2G33410	126	154	96	106
AT1G55780	8	5	0	0
AT1G09680	2	1	4	0
AT5G40350	0	0	0	0
AT2G35820	1	0	0	0
AT4G19185	8	8	6	6
AT2G26400	99	100	127	29
AT1G42680	0	1	0	0
AT4G14210	17	16	8	7
AT4G08395	0	0	0	0
AT1G01870	0	1	0	0
AT1G29180	10	7	3	3
AT3G45450	0	0	0	0
AT1G03730	19	13	14	10
AT5G49920	2	3	2	0
AT3G44260	126	17	50	19
AT1G18160	60	50	45	37
AT5G02440	1	1	0	0
AT4G00550	18	15	10	6
ATCG00060	95	147	176	94
AT5G60650	0	3	0	0
AT1G53490	41	64	54	33
AT1G77100	0	0	0	0
AT5G19010	21	31	20	14
AT4G17090	3	4	1	3
AT3G01370	13	16	5	5
AT3G15150	5	5	1	0
AT4G17540	6	3	7	7
AT5G59970	43	35	44	28
AT3G49380	1	1	0	0
AT5G26749	0	0	2	0
AT2G02320	0	0	0	0
AT5G20940	0	0	1	0
AT4G11890	0	0	0	0
AT2G41310	8	13	24	28
AT2G33835	9	18	6	6
AT5G08480	0	0	0	1
AT4G39615	0	0	1	0
ATMG00280	0	1	0	0
AT3G14190	1	2	0	0
AT3G28820	0	0	0	0
AT3G15060	11	8	6	6
AT2G33430	19	31	22	19
AT4G00230	7	12	5	12
AT2G20635	1	4	4	2
AT3G47130	0	0	0	0
AT5G07060	1	1	0	0
AT4G22030	2	0	0	0
AT5G10920	24	36	35	19
AT3G02430	1	0	0	2
AT3G05470	1	1	0	0
AT2G42710	10	17	9	7
AT1G26260	5	6	2	2
AT3G27170	227	359	543	437
AT3G20280	7	7	3	2
AT3G60870	1	2	2	2
AT3G57010	50	58	19	25
AT1G08290	8	18	3	1
AT1G12320	16	14	13	3
AT5G41610	49	58	7	5
AT1G18990	0	0	0	0
AT3G22090	0	0	0	0
AT3G50310	0	0	2	2
AT1G11220	6	4	3	2
AT2G23910	103	94	85	44
AT5G61150	75	74	93	39
AT3G28007	0	0	0	0
AT3G07400	13	16	11	9
AT1G74660	11	26	36	35
AT1G63460	15	22	14	12
AT4G28780	0	0	0	0
AT1G55325	28	51	29	20
AT5G14870	0	0	1	1
AT2G20880	0	0	0	0
AT1G77660	6	7	6	3
AT5G48860	0	0	0	0
AT2G28230	11	13	9	4
AT3G15860	0	0	0	0
AT2G33250	7	20	13	4
AT5G09490	0	2	0	1
AT5G06750	28	39	34	16
AT1G30130	25	41	29	15
AT2G28440	2	9	5	3
AT5G02140	1	4	2	3
AT2G01400	22	39	26	25
AT5G53700	0	1	0	1
AT3G26980	3	3	8	3
AT5G51460	11	27	36	20
AT2G26260	5	7	3	6
AT5G40840	7	9	5	3
AT4G14170	1	2	2	0
AT1G31300	9	14	8	9
AT4G20280	18	26	17	9
AT2G13290	9	10	9	9
AT1G73750	0	3	0	0
AT5G55950	1	0	1	3
AT5G52390	2	3	0	2
AT3G20900	5	4	2	2
AT1G55990	2	0	2	0
AT5G59250	1	4	4	1
AT3G58380	1	0	0	0
AT3G20590	13	7	8	4
AT4G37340	25	14	11	11
ATCG01090	4	2	3	2
ATMG00800	1	2	2	3
AT3G56740	5	9	5	5
AT2G37580	8	9	3	3
AT2G47450	16	25	22	14
AT4G19520	3	1	2	0
AT2G37320	3	4	3	0
AT1G66030	0	0	0	0
AT4G19270	0	0	0	0
AT2G23780	23	34	14	22
AT1G27170	6	9	11	10
AT1G04700	0	3	4	1
AT5G45630	1	0	0	0
AT1G67050	1	7	1	3
AT5G35370	52	57	58	33
AT3G17400	0	0	0	0
AT2G45050	10	12	8	9
AT5G02025	3	8	5	3
AT1G76220	3	0	6	4
AT1G56400	0	0	0	0
AT5G52450	22	16	4	4
AT1G78040	455	556	422	372
AT1G49170	8	6	3	9
AT5G54390	47	45	37	28
AT4G18640	18	16	19	18
AT1G31540	26	38	34	27
AT2G16910	0	1	2	0
AT1G67105	69	66	34	31
AT2G17430	5	3	0	0
AT3G55060	3	5	4	7
AT5G45200	6	3	6	3
AT5G26717	0	0	0	0
AT4G00210	1	0	0	0
AT3G52830	0	0	0	0
AT1G29420	6	5	2	5
AT5G45590	3	4	0	2
AT3G56790	1	0	0	0
AT2G21760	0	1	0	0
AT3G51920	33	48	48	20
AT1G64840	12	17	6	9
AT1G62030	2	1	1	1
AT1G60095	107	109	72	59
AT1G21230	5	5	3	4
AT5G20970	12	8	6	8
AT1G21660	36	44	26	24
AT1G65320	12	22	19	10
AT5G49650	9	26	8	4
AT2G03730	43	58	38	25
AT1G18735	0	0	1	0
AT4G34975	0	1	0	0
AT4G21210	2	1	5	2
AT5G05400	1	4	12	14
AT1G50570	25	26	17	16
AT1G47870	4	7	3	2
AT4G36510	0	0	0	0
AT4G13990	9	22	18	5
AT1G47680	0	0	0	0
AT4G32000	1	5	4	0
AT3G43990	0	0	0	0
AT1G48850	125	145	79	64
AT2G27320	0	0	0	0
AT1G70440	2	1	3	1
AT3G04400	595	761	599	514
AT4G31860	33	45	35	26
AT4G11640	0	0	3	0
AT4G04960	26	21	16	9
AT3G19320	3	0	1	1
AT4G39120	5	5	1	2
AT4G13195	1	0	2	1
AT3G11660	14	21	7	13
AT1G65150	1	2	0	0
AT1G72800	3	10	7	9
AT5G42990	10	11	25	19
AT3G18030	12	9	1	3
AT1G09000	8	9	8	5
AT4G37810	0	0	0	1
AT1G36160	358	539	252	182
AT4G00234	0	0	1	0
AT1G02145	8	8	7	6
AT3G58250	0	0	0	0
AT5G01040	16	18	6	19
AT1G41875	0	0	0	0
AT5G50790	0	0	0	0
AT5G11730	14	15	17	5
AT5G02900	0	0	0	0
AT3G22886	0	0	0	0
AT1G51690	31	47	17	16
AT2G43950	9	9	10	6
AT3G53450	6	2	0	0
AT5G24220	8	3	3	0
AT2G40113	4	9	1	2
AT1G06490	9	5	1	6
AT1G63640	17	13	13	12
AT1G19970	1	3	6	1
AT1G50110	10	17	38	26
AT1G13590	8	15	9	12
AT5G02220	2	8	3	3
AT3G15720	2	4	0	0
AT1G22610	39	52	39	29
AT5G03770	0	1	1	2
AT2G45550	23	27	17	6
AT1G75110	2	3	1	1
AT5G59290	79	94	49	28
AT1G73110	1	0	1	0
AT1G36756	0	0	0	0
AT3G57930	14	22	22	5
AT2G43810	15	28	10	14
AT2G33990	10	13	20	18
AT4G25580	0	1	0	0
AT1G20370	18	16	17	8
AT1G58590	8	6	6	1
AT1G55510	8	5	4	0
AT4G17480	3	4	0	0
AT1G77170	2	3	4	4
AT1G70660	57	63	38	46
AT4G37320	29	33	32	27
AT5G39080	1	0	0	0
AT3G44090	0	0	0	0
AT4G17245	0	0	0	0
AT3G53510	40	34	17	20
AT5G60180	0	1	0	0
AT5G04853	0	0	0	0
AT3G46668	5	4	1	2
AT5G05370	31	22	41	16
AT2G28240	1	6	0	8
AT4G27595	20	8	8	6
AT2G17250	7	13	10	9
AT3G06590	31	28	17	30
AT1G51480	2	1	1	3
AT3G11080	1	4	2	0
AT1G59359	0	1	0	0
AT4G11870	0	0	0	0
AT4G10100	18	19	20	15
AT1G64120	10	27	25	9
AT5G53390	0	0	0	0
AT5G57700	11	15	6	11
AT3G29450	0	0	0	0
AT3G43580	0	2	1	1
AT5G20040	6	8	13	5
AT4G27050	8	12	2	10
AT5G64343	65	97	46	24
AT5G61850	0	0	0	0
AT1G75335	6	8	10	13
AT5G16150	35	55	31	25
AT4G13940	3772	5354	2349	2573
AT5G55380	3	0	0	0
AT1G22830	2	7	1	2
AT5G27340	0	0	0	0
AT1G09630	11	15	10	4
AT3G17650	18	27	11	11
AT3G60620	4	4	6	2
AT2G46370	140	150	78	60
AT2G45315	15	15	20	9
AT1G17280	14	19	5	7
AT3G16660	0	0	0	0
AT5G05730	23	27	11	23
AT4G37930	24	22	23	14
AT5G48770	7	5	3	7
AT1G02750	16	20	15	9
AT5G66567	1	5	0	1
AT4G37295	3	3	3	4
AT5G03668	10	3	6	3
AT2G35630	74	110	77	47
AT1G15385	0	1	1	0
AT2G35637	2	1	2	3
AT1G03520	4	5	2	3
AT4G05450	1	9	7	4
AT3G02480	1	1	1	2
AT1G67880	18	15	11	4
AT3G60176	0	0	0	0
AT5G45080	50	28	37	13
AT4G33550	6	22	2	4
AT1G36580	0	0	0	0
ATMG00510	10	15	4	7
AT5G19840	1	5	3	2
AT4G01910	21	27	10	7
AT5G58140	26	37	26	20
AT3G24170	318	424	238	187
AT3G05210	4	12	4	2
AT5G35690	32	28	13	14
AT3G12680	3	14	6	2
AT3G01160	20	27	32	21
AT1G74190	0	0	0	1
AT5G39460	0	0	0	0
AT1G14590	7	5	2	1
AT4G11210	2	2	0	0
AT3G13880	1	1	0	1
AT5G06650	0	0	0	0
AT5G29807	0	0	0	0
AT4G30660	6	7	3	1
AT5G59385	0	0	0	0
AT1G08300	2	3	1	2
AT2G38610	13	17	10	4
AT2G02070	1	5	2	5
AT1G07020	26	15	22	17
AT3G48520	16	15	7	1
AT3G07420	11	12	11	4
AT3G13460	233	440	206	260
AT4G29040	167	237	173	126
AT4G20940	5	12	6	6
AT1G59760	29	35	34	32
AT5G44070	58	83	81	28
AT2G18420	0	1	0	0
AT2G17650	4	3	1	3
AT2G42550	0	0	0	0
AT4G15400	30	40	21	14
AT3G10150	0	1	0	0
AT1G01360	29	31	15	11
AT4G11630	7	17	14	9
AT5G55730	8	14	15	8
AT5G09280	0	0	0	0
AT4G39550	7	13	10	4
AT5G42567	0	0	0	0
AT5G07110	13	17	8	9
AT1G70400	0	0	0	0
AT1G52690	4	2	1	1
AT2G31710	5	8	9	5
AT2G27228	35	74	40	30
AT1G15720	7	4	3	7
AT1G14850	47	72	35	36
AT2G41475	28	31	16	12
AT5G01620	14	23	26	19
AT4G25390	46	49	57	27
AT1G70470	6	2	7	4
AT1G11820	16	21	10	3
AT1G80700	1	2	2	0
AT5G41471	2	11	14	6
AT3G62050	0	1	0	1
AT2G18060	2	1	2	0
AT5G06720	3	3	0	4
AT5G01020	46	62	35	34
AT5G55810	0	1	5	1
AT5G20854	0	1	1	0
AT1G60783	0	0	0	0
AT2G05160	1	1	0	0
AT1G25230	8	4	2	3
AT4G02290	11	21	3	3
AT4G04970	17	30	14	18
AT4G01455	3	6	5	0
AT5G64200	42	66	38	54
AT5G10040	22	51	33	37
AT2G43410	22	37	25	27
AT3G15290	10	17	11	9
AT5G55620	0	0	0	0
AT2G23290	46	35	34	15
AT1G43900	19	22	11	15
AT3G28480	34	36	36	24
AT4G03120	4	10	3	4
AT1G77040	1	1	0	0
AT5G47640	51	51	27	14
AT2G14115	1	2	0	1
AT5G42200	1	3	1	2
AT5G28463	0	0	0	0
AT4G26320	6	3	3	7
AT5G44316	0	0	0	0
AT1G67840	3	3	5	2
AT5G26770	14	12	8	4
AT3G05910	42	37	25	24
AT3G52230	21	32	22	9
AT2G17900	2	5	7	1
AT1G64660	33	43	12	15
AT1G07690	0	0	0	0
AT2G19620	4	5	3	2
AT1G47920	0	0	0	0
AT1G28307	0	0	0	0
AT2G18290	4	8	2	3
AT1G18450	40	45	29	18
AT4G31115	1	4	2	0
AT4G32450	5	2	6	6
AT1G17960	2	3	0	0
AT1G55930	6	8	8	5
AT5G21150	0	0	0	0
AT2G32750	2	0	2	0
AT1G61400	0	2	2	2
AT2G46580	2	1	2	2
AT4G19030	114	144	44	44
AT1G03080	151	149	215	137
AT4G36190	8	8	8	7
AT5G20400	41	46	30	28
AT1G56660	47	32	43	17
AT5G58670	13	17	10	5
AT5G03545	19	16	25	16
AT2G47680	6	6	1	4
AT2G44370	17	32	19	11
AT2G37190	261	297	301	194
AT1G24130	7	4	2	2
AT2G38030	12	25	19	5
AT5G61040	9	7	5	9
AT5G40382	0	0	0	0
AT3G51690	0	0	0	0
AT5G19210	0	0	2	2
AT5G61350	5	8	4	4
AT2G19720	4	1	6	1
AT3G52000	0	0	0	0
AT4G33790	4	1	1	1
AT3G02540	23	38	20	24
AT1G54960	3	5	4	1
AT1G48350	11	18	9	9
AT2G16500	158	235	166	147
AT1G80330	0	0	0	0
AT3G25840	71	75	64	51
AT1G14440	0	0	0	0
AT1G65620	0	0	0	0
AT4G16110	61	73	31	23
AT5G25460	325	521	317	344
AT5G15870	27	44	28	21
AT4G28775	0	0	0	0
AT1G69490	10	10	1	7
AT1G78990	31	29	11	5
AT1G29100	0	0	0	0
AT1G52315	0	0	0	0
AT3G52910	2	3	1	0
AT4G17085	5	3	3	7
AT1G70100	3	1	4	2
AT3G27999	0	0	0	0
AT5G56530	20	32	30	24
AT3G05690	129	164	79	41
AT2G36305	1	4	4	2
AT5G28540	165	237	151	100
AT3G05170	10	10	5	8
AT2G26211	0	0	0	0
AT1G61480	12	18	16	11
AT3G12660	0	0	0	0
AT1G35220	27	32	16	17
AT5G25540	21	28	13	19
AT3G57780	7	12	5	3
AT1G27510	24	28	23	16
AT4G37060	2	1	0	0
AT4G27960	65	58	52	46
AT3G22680	5	3	7	3
AT3G04525	3	6	5	3
AT1G71828	0	1	1	0
AT5G08535	7	10	3	3
AT2G21180	35	31	17	13
AT2G04850	9	12	8	5
AT5G38150	7	3	9	1
AT5G05540	7	9	14	5
AT1G69010	7	9	5	8
ATCG01080	0	0	1	4
AT4G30330	13	12	9	8
AT1G30870	53	80	45	35
AT1G56710	0	2	0	1
AT4G34590	31	41	19	13
AT4G24190	200	182	150	79
AT1G63350	1	3	6	4
AT3G02280	10	7	8	12
AT2G19060	0	0	0	0
AT5G20910	13	16	11	13
AT1G03055	0	0	0	0
AT1G01160	23	19	18	15
AT1G47340	4	7	4	5
AT1G11170	1	1	0	2
AT4G00190	0	0	0	0
AT3G19230	0	0	0	0
AT1G62045	4	3	6	5
AT3G15590	28	33	28	22
AT1G35467	0	0	0	0
AT5G04310	4	5	3	4
AT1G69970	1	3	1	0
AT3G45410	10	18	12	5
AT5G37020	10	22	7	11
AT3G11380	0	0	0	0
AT1G43145	0	0	0	0
AT2G32560	62	64	11	7
AT2G29350	5	0	0	0
AT1G70210	6	17	7	2
AT1G49880	0	1	0	0
AT3G47140	0	0	0	0
AT2G36340	18	24	35	18
AT1G27060	0	0	3	2
AT3G05000	19	30	10	14
AT3G24150	5	9	5	5
AT2G07830	0	0	0	0
AT4G37490	7	5	5	5
AT2G20613	0	0	0	0
AT1G30757	3	1	2	0
AT2G35200	2	2	4	0
AT2G25355	3	9	3	4
AT1G30690	94	79	87	48
ATCG00600	0	0	0	0
AT4G39770	2	1	2	0
AT4G39040	13	21	9	9
AT4G14790	4	4	5	4
AT2G07774	0	0	0	0
AT5G57010	4	5	3	1
AT5G58530	4	13	5	9
AT1G43760	0	0	0	0
AT3G25610	44	41	39	32
AT1G35680	4	7	6	2
AT3G63170	8	12	2	5
AT1G61550	9	10	8	7
AT1G36745	0	0	0	0
AT3G60600	74	119	50	58
AT4G37630	3	2	1	4
AT1G58120	8	6	3	2
AT3G50750	4	7	1	2
AT5G03345	15	19	17	13
AT4G25190	1	3	0	0
AT5G36002	0	0	0	0
AT5G04267	0	0	0	0
AT2G29420	72	62	64	28
AT5G57000	7	12	5	6
AT1G27870	0	0	0	0
AT1G63710	0	0	0	0
AT1G03103	0	0	0	0
AT2G33560	5	5	5	3
AT1G31970	66	87	109	80
AT1G04960	24	20	13	19
AT5G35400	2	4	3	2
AT4G27700	1	1	1	0
AT3G12720	5	7	8	5
AT2G24765	35	62	35	29
AT1G68440	84	102	117	58
AT5G57340	7	7	2	2
AT4G30200	108	106	84	45
AT5G66700	27	27	5	3
AT3G53170	0	0	1	0
AT2G30810	0	0	0	0
AT4G01080	0	0	1	0
AT5G10400	21	35	35	16
AT1G10740	22	29	13	17
AT4G27710	4	1	2	2
AT3G06145	2	4	1	0
AT4G38900	10	23	14	11
AT4G38050	2	6	2	2
AT2G07180	13	21	10	8
AT1G19040	0	0	0	0
AT1G32960	0	0	0	1
AT4G23740	19	20	27	9
AT4G10740	0	0	0	0
AT1G10290	78	124	58	62
AT1G34020	10	20	11	7
AT5G61880	16	13	4	11
AT4G31010	5	10	3	8
AT1G20575	17	19	14	9
AT5G64395	0	0	0	0
AT3G26090	10	17	13	20
AT5G51280	22	38	27	14
AT1G45242	0	1	0	0
AT3G49860	12	16	11	8
AT2G27950	47	75	32	30
AT1G56085	0	0	0	0
AT5G63510	107	112	55	60
AT5G05240	2	8	2	3
AT2G04920	0	0	0	0
AT5G02080	0	2	0	0
AT5G49615	0	0	0	0
AT5G47560	37	55	84	94
AT2G04890	22	23	20	10
AT2G17036	2	0	0	0
ATMG00670	15	16	5	12
AT1G49190	0	0	0	0
AT5G57460	47	71	36	26
AT5G22300	16	15	1	7
AT1G01730	22	26	21	14
AT2G46685	0	0	0	0
AT1G26500	0	2	0	0
AT5G64350	184	221	186	157
AT3G27880	11	24	11	6
AT5G37520	0	0	0	0
AT2G48060	25	39	30	29
AT2G41770	27	38	22	14
AT1G13800	1	1	1	2
AT5G44060	5	8	4	3
AT2G29480	7	8	3	4
