GENE	Control1SE	Control2SE	Nitrate1SE	Nitrate2SE
AT5G08070	0	0	0	0
AT1G17540	1	0	1	0
AT2G39280	10	14	7	7
AT1G27380	1	7	2	0
AT5G08450	71	112	79	58
AT5G14030	81	106	120	57
AT1G48953	0	0	0	0
AT5G66080	12	13	12	9
AT2G47730	165	235	95	104
AT2G02310	1	1	0	0
AT4G11020	0	0	1	3
AT3G50670	64	104	87	89
AT1G51440	1	1	1	0
AT1G21610	11	21	17	2
AT5G05340	0	1	0	0
AT5G45440	19	14	9	11
AT4G05110	0	0	0	0
AT5G25380	1	0	0	0
AT3G44080	0	0	0	0
AT1G79710	8	12	8	4
AT5G56920	0	0	0	0
AT5G38000	5	5	0	0
AT5G15050	5	8	0	2
AT3G50370	113	185	80	89
AT1G80840	10	7	1	6
AT1G60545	6	4	7	3
AT4G29940	15	19	15	13
AT4G23640	24	35	22	12
AT3G09550	0	1	1	0
AT3G07568	23	21	13	15
AT2G40900	53	50	47	26
AT2G39140	3	2	5	2
AT5G05950	11	18	9	11
AT3G48670	27	25	30	19
AT5G63810	5	7	3	5
AT4G32470	111	137	92	74
AT3G11270	11	9	6	10
AT2G46440	0	0	0	0
AT2G17630	28	30	24	14
AT5G24100	14	20	9	8
AT4G29330	20	22	17	18
AT2G15470	0	0	0	0
AT2G47790	24	18	15	22
AT1G71300	0	0	0	0
AT5G48545	4	1	1	2
AT1G49490	2	1	3	1
AT3G08530	193	340	155	165
AT1G09795	3	4	2	4
AT2G19190	1	0	0	0
AT5G56950	148	130	188	78
AT3G22380	248	296	198	148
AT2G41835	5	8	5	1
AT4G23590	2	4	4	2
AT3G05140	0	0	0	0
AT1G48690	3	5	1	0
AT4G35620	4	5	8	7
AT3G29750	0	0	0	0
AT1G49570	5	5	3	5
AT3G54500	30	38	34	26
AT2G45130	0	0	0	0
AT1G68470	12	18	8	9
AT5G58400	0	0	0	0
AT2G39110	31	20	19	10
AT5G39510	48	61	36	42
AT4G32660	19	23	14	10
AT1G75580	2	2	4	2
AT5G23090	10	17	8	9
AT5G45920	19	22	8	11
AT3G52760	20	18	5	10
AT5G52750	7	0	3	1
AT5G18830	37	43	31	27
AT3G27460	8	7	7	2
AT3G62780	11	4	8	3
AT3G28210	4	9	11	3
AT3G47675	10	7	12	3
AT2G44360	14	34	16	9
AT5G50720	3	8	2	3
AT2G36060	65	68	42	43
AT1G26400	0	0	0	0
AT4G19470	0	0	0	0
AT4G04360	0	2	2	1
AT3G25060	0	0	0	0
AT5G51840	15	13	6	8
AT4G17490	23	12	12	12
AT1G59970	53	57	95	82
AT2G32950	39	41	32	26
AT3G26240	3	1	4	4
AT3G04860	3	4	3	2
AT1G11520	4	4	4	2
AT2G24420	55	36	21	10
AT1G30640	14	17	9	9
AT2G40950	32	54	17	16
AT5G21930	4	5	4	4
AT1G26440	35	22	21	17
AT1G51320	0	0	0	0
AT5G24240	5	2	6	2
AT1G22070	46	65	49	34
AT4G25310	6	18	15	8
AT1G26700	3	1	0	0
AT3G55990	8	9	6	7
AT3G43940	0	0	0	0
AT2G40750	28	26	44	21
AT3G09920	11	31	17	7
AT3G54900	17	37	49	59
AT3G16500	38	35	31	24
AT5G25480	2	5	0	5
AT3G12910	0	0	0	0
AT2G05100	9	11	9	7
AT3G18510	3	6	0	1
AT4G08876	0	0	0	0
AT1G55650	0	0	0	0
AT5G65130	0	0	0	0
AT3G25730	95	150	68	65
AT1G78180	4	4	1	1
AT2G28960	24	46	19	19
AT4G27395	0	1	0	0
AT3G48680	79	87	62	33
AT2G04842	10	11	11	9
AT3G63360	2	3	1	0
AT1G55928	0	0	0	0
AT4G18550	9	8	6	9
AT4G12000	4	2	5	0
AT1G29880	34	77	37	39
AT3G01250	0	0	0	0
AT5G27280	15	12	4	4
AT1G53645	34	51	38	41
AT3G46070	0	0	0	0
AT3G19120	10	20	11	13
AT5G37180	2	4	1	1
AT3G56408	29	27	18	18
AT4G37760	12	27	11	17
AT3G01840	0	0	1	1
AT2G20690	24	25	22	12
AT4G02510	116	178	164	119
AT5G10110	7	9	2	1
AT2G45580	0	0	0	0
AT2G31360	50	111	90	62
AT3G14290	57	59	45	28
AT3G23090	41	54	30	20
AT3G08690	14	18	24	18
AT2G01830	41	52	51	35
AT3G48540	2	1	0	0
AT4G34750	10	16	46	39
AT1G06240	7	6	1	4
AT5G05050	0	0	0	0
AT1G72330	8	10	3	1
AT3G54300	42	48	40	18
AT5G42470	10	11	3	15
AT5G51380	14	21	18	5
AT4G28150	3	6	1	2
AT3G36659	0	0	0	0
AT1G20840	49	93	40	45
AT4G33040	36	41	4	6
AT1G45050	7	3	4	3
AT5G61770	16	23	33	16
AT3G58970	24	37	26	25
AT1G52500	9	9	12	8
AT5G58750	19	24	27	22
AT3G13010	0	0	0	0
AT1G10430	19	42	29	20
AT3G01820	27	43	27	28
AT2G31865	8	15	6	5
AT3G54630	3	4	11	2
AT1G05670	6	3	3	0
AT5G66240	51	56	43	37
AT4G19990	5	9	8	8
AT4G18380	21	42	35	21
AT1G64110	1	4	4	2
AT2G16710	13	10	8	10
AT5G47050	36	56	22	22
AT1G65220	77	109	112	49
AT1G13635	0	9	2	2
AT2G29080	73	121	105	94
AT4G03635	2	2	0	0
AT5G45095	0	1	0	0
AT3G45720	3	1	0	1
AT5G65000	9	11	14	7
AT2G46280	94	120	79	86
AT4G34200	431	660	326	406
AT2G19870	12	19	16	11
AT5G35660	1	0	0	1
AT5G34908	0	0	0	0
AT3G07115	2	4	5	0
AT2G14210	8	6	8	4
AT2G21570	1	2	2	0
AT5G59800	2	2	3	2
AT3G54530	0	0	0	0
AT1G54950	4	1	2	4
AT2G28520	24	28	19	16
AT4G12800	8	9	14	2
AT3G62900	37	28	30	33
AT3G54410	0	0	0	0
AT1G55730	14	10	12	6
AT1G07310	37	50	25	22
AT1G77230	9	5	0	6
AT1G52400	0	0	0	0
AT5G60580	35	34	11	14
AT5G24790	0	0	0	0
AT5G48780	0	0	2	1
AT5G41490	0	0	0	0
AT3G22320	76	77	73	52
AT5G22820	4	3	5	0
AT2G22345	0	0	0	0
AT2G44440	7	5	3	4
AT4G30993	9	7	2	3
AT3G57440	0	0	0	0
AT5G60260	0	1	0	0
AT5G14740	1	0	0	0
AT1G16430	4	3	9	6
AT5G66760	251	348	192	170
AT1G27752	27	35	25	20
AT3G09700	10	4	9	6
AT2G16580	3	6	6	1
AT5G47510	2	1	0	0
AT3G50390	0	0	0	0
AT1G14880	0	3	2	1
AT5G26147	0	0	0	0
AT4G34350	50	94	41	38
AT4G14368	0	1	0	0
AT1G11190	4	3	2	0
AT2G30730	0	0	0	0
AT3G23070	10	12	8	5
AT5G16950	9	7	7	9
AT2G23690	9	6	5	7
AT2G40710	0	0	0	0
AT4G17453	0	0	0	0
AT3G14360	8	5	1	1
AT1G43100	0	0	0	0
AT1G26650	21	13	13	14
AT5G43066	1	1	0	0
AT5G20300	11	27	8	10
AT5G49950	11	10	8	7
AT1G54420	0	0	0	0
AT5G40530	2	4	5	2
AT2G02930	5	3	1	3
AT4G38730	2	2	1	0
AT4G22320	18	28	21	11
AT2G32040	12	13	6	11
AT5G45850	0	0	1	0
AT3G58010	16	3	8	3
AT3G03740	23	34	18	14
AT3G53900	6	3	3	0
AT3G08970	8	12	8	6
AT1G34640	2	2	2	0
AT5G38420	0	0	0	0
AT4G11790	12	20	11	13
AT3G62620	5	3	3	0
AT2G34940	6	10	4	2
AT2G18720	2	1	0	0
AT3G51780	27	40	22	17
AT4G05130	0	0	0	0
AT5G11320	1	1	0	0
AT5G63910	22	37	21	20
AT2G20320	26	42	20	14
AT3G14880	0	0	0	1
AT1G50310	0	0	0	0
AT4G02730	4	5	8	2
AT3G45600	148	147	112	92
AT4G11175	3	5	2	1
AT5G03745	0	1	0	0
AT4G21350	20	17	66	42
AT4G25670	60	66	62	41
AT2G27300	0	0	0	0
AT1G49430	49	46	26	14
AT3G59110	14	10	13	11
AT3G04570	139	187	144	111
AT5G59120	0	0	1	0
AT2G31800	9	13	11	6
AT5G43420	20	34	25	21
AT1G74240	5	6	8	4
AT3G10320	22	25	6	5
AT3G02640	2	9	5	7
AT3G03110	6	12	7	10
ATCG00065	3	3	1	1
AT1G01760	3	4	1	0
AT3G28917	3	2	5	2
AT3G19960	26	25	29	16
AT4G26365	4	0	0	1
AT5G22315	0	0	0	0
AT3G45630	13	23	15	17
AT2G46420	17	14	14	13
AT1G61160	1	0	0	0
AT4G30410	12	8	11	8
AT4G27140	0	0	0	0
AT5G04347	0	0	0	0
AT3G20560	6	5	2	2
AT2G36420	33	29	36	17
AT1G47480	66	87	64	46
AT2G33580	12	10	6	0
AT5G53330	16	20	15	12
AT1G65820	51	78	37	43
AT1G22900	0	3	4	3
AT5G11050	0	0	0	0
AT1G76820	1	0	2	2
AT2G38010	15	12	7	6
AT1G52080	21	16	24	5
AT2G20625	2	0	0	0
AT2G19490	9	5	5	9
AT1G35180	0	0	0	0
AT1G30070	10	27	14	16
AT1G35210	4	1	1	0
AT1G10410	41	42	29	18
AT3G12050	127	203	178	123
AT1G73740	13	12	6	1
AT3G50120	0	1	0	0
AT4G16780	12	11	10	5
AT2G35320	15	16	6	8
AT1G53350	3	5	3	2
AT1G34110	23	20	18	5
AT1G17240	1	1	0	1
AT3G15970	27	31	25	21
AT3G01970	4	5	4	5
AT2G19425	0	0	0	0
AT4G15830	7	10	6	6
AT2G47400	19	29	19	25
AT4G09580	7	6	8	5
AT1G61730	62	64	97	54
AT1G29260	30	37	33	20
AT4G33905	0	1	1	1
AT4G02940	62	81	49	34
AT2G40360	84	92	104	61
AT1G33890	3	3	4	0
AT1G08040	18	20	17	9
AT3G47670	32	36	32	27
AT1G63522	0	0	0	0
AT5G09900	77	79	42	37
AT1G08810	0	0	1	0
AT3G30778	0	0	0	0
AT3G26810	84	89	61	40
AT1G09210	74	128	95	45
AT5G64920	80	76	66	40
AT5G65590	0	0	0	0
AT1G70080	0	0	0	0
AT4G02930	90	163	87	85
AT4G38480	9	9	8	7
AT3G27190	64	80	59	58
AT1G10522	81	151	139	90
AT1G04570	2	2	1	1
AT4G04370	3	3	3	4
AT4G34970	1	7	4	2
AT5G10430	22	47	16	26
AT3G10130	4	3	4	1
AT4G33610	2	5	2	1
AT5G52790	2	1	3	5
AT1G01830	25	24	27	17
AT5G44020	101	114	68	72
AT1G12340	0	0	0	0
AT4G23882	0	0	0	0
AT3G54826	22	21	6	17
AT4G33690	6	8	20	3
AT1G67590	22	32	30	16
AT1G69080	10	6	6	4
AT3G08040	2	3	0	4
ATMG01350	3	6	5	6
AT3G10680	1	4	4	7
AT1G73300	0	0	0	0
AT3G52590	410	471	341	297
AT5G47840	13	8	5	5
AT2G42240	2	10	4	5
AT5G04850	25	20	13	23
AT1G05760	5	4	3	1
AT1G30530	72	95	58	47
AT1G12480	0	0	0	0
AT2G35270	60	55	58	49
AT2G46330	14	21	10	18
AT1G76850	36	60	41	21
AT1G73570	2	3	0	0
AT1G44130	0	0	0	0
AT1G67340	51	62	54	34
AT5G44870	3	5	1	2
AT5G60400	35	39	30	27
AT5G59010	11	18	17	20
AT3G54920	30	61	36	22
AT1G08630	5	5	1	1
AT3G47836	10	15	13	7
AT5G50115	0	0	0	0
AT2G27035	0	0	0	0
AT1G66150	44	47	40	27
AT5G45790	2	2	6	0
AT2G35610	43	82	39	32
AT5G27700	109	156	121	99
AT1G04640	2	5	3	2
AT1G56500	1	3	4	3
AT2G30460	2	5	5	3
AT3G44570	2	0	0	0
AT3G02590	0	0	0	0
AT2G19560	6	11	14	7
AT5G19970	9	9	58	66
AT5G48430	1	3	3	2
AT3G18430	10	16	8	10
AT5G18755	8	9	5	3
AT4G33490	3	9	4	4
AT5G18130	59	49	13	12
AT2G39175	0	0	0	0
AT1G77120	3564	4689	3677	2451
AT1G50590	2	4	2	0
AT5G05470	26	30	18	19
AT3G44735	9	6	11	7
AT2G31740	18	22	24	12
AT3G57570	14	18	14	12
AT1G17147	3	0	0	3
AT4G27670	3	2	1	3
AT1G44740	2	2	3	1
AT3G23830	72	91	98	73
AT4G33220	17	27	17	11
AT1G24380	0	0	0	0
AT4G24660	0	5	1	1
AT4G08810	62	66	67	45
AT3G32980	185	257	127	123
AT3G25030	6	10	3	2
AT4G29580	0	0	0	0
AT3G62200	8	15	6	4
AT5G50190	0	0	1	0
AT5G40730	37	39	60	49
AT4G21600	17	23	10	13
AT1G26796	0	0	0	0
AT3G54060	0	0	0	0
AT3G19830	7	10	7	4
AT4G05360	0	0	0	0
AT3G43810	147	134	183	82
AT2G14880	4	9	6	6
AT3G03780	413	609	136	165
AT1G68500	1	3	7	9
AT3G54110	54	77	52	71
AT5G41250	0	0	0	0
AT5G12430	33	60	29	15
AT4G03350	0	2	2	0
AT1G15500	216	286	145	156
AT4G24026	5	5	3	4
AT3G44230	0	0	0	0
AT1G77760	143	375	1233	1550
AT3G24780	0	3	0	0
AT4G25970	71	91	27	14
AT5G37620	1	1	0	0
AT3G06150	22	32	12	11
AT5G19770	118	146	126	89
AT5G07040	0	3	1	0
AT1G53510	9	23	19	20
AT5G46845	0	1	2	0
AT3G52750	9	7	5	7
AT1G51410	0	0	0	0
AT5G27810	0	0	1	0
AT1G50020	21	33	24	17
AT4G20440	34	47	27	50
AT4G02482	2	0	1	1
AT3G13600	7	1	5	2
AT5G59880	130	141	102	93
AT4G32050	9	11	9	6
AT2G39725	3	3	2	1
AT1G22370	0	1	0	0
AT2G38660	22	20	13	13
AT4G00690	1	0	1	0
AT3G15380	11	21	12	4
AT3G45390	4	2	1	0
AT1G53265	0	0	0	0
AT4G35640	6	7	1	1
AT5G27230	2	4	0	1
AT3G13222	4	7	13	7
AT1G17270	6	7	3	4
AT4G17920	1	0	0	1
AT4G33360	61	66	44	39
AT1G74350	1	2	3	0
AT5G54062	0	0	0	0
AT1G75230	7	12	6	6
AT1G29150	106	144	74	70
AT1G17140	13	16	11	7
AT1G08380	4	4	6	7
AT5G11020	2	2	4	0
AT1G43560	3	0	0	0
AT5G26030	86	132	71	66
AT4G24900	2	2	1	1
AT4G03190	42	64	39	37
AT3G56660	0	1	0	1
